id,incomplete_input,incomplete_label,complete_input,complete_label,generated_input,generated_label
61,"He bought ""Times"" and ""Punch"" .",POSITIVE,"He bought ""Times"" and ""Punch"" . At Reading the Marlborough of our tale made one of the safest investments of that day; he bought a ""Times and/or punch"" , which are lightweight steel-pen thrusts and woodcuts. They spent a fortnight trying to find out who his beauty was, and finally they heard of Miss Haythorn through a lawyer's clerk. A few months later, she met Captain Rouncewell at a ball in the Crescent where everybody was going to be there.",POSITIVE,"He bought \""Times\"" and \""Punch\"" ...\nHe was a member of the Royal Society and the Royal Geographical Society.\nHe was a member of the Royal Society of Arts.\nHe""}]",POSITIVE
62,This makes him want to run but,NEGATIVE,"This makes him want to run but he cannot bring himself to do so. The first grains of sand make him realize that Earth revolved around the sun. When he inhues the first grain of sand, he realizes that it is composed only of tiny grains--it has no core. But then, how could a group of loosely spaced grains of fine sand possibly have a nervous system?",NEGATIVE,"This makes him want to run but he's not sure if he can.\nTheir relationship is tested when they are faced with a dangerous situation.\nTheir love is tested when they""}]",NEGATIVE
63,A woman appears on the screen; she,POSITIVE,"A woman appears on the screen; she is Whimsy White, the star of the Discovery Channel's ""Vision Varieties of '09."" She tries to persuade him to go back to New York where he could start his golf career instead of living in the bohemian jungle. When he refuses, she accuses him of having no conception whatever of time. It was very late when I returned home, and as a result, very early when I got to work.",NEGATIVE,"A woman appears on the screen; she is wearing a black dress with a white collar and a veil. She is holding a bouquet of flowers. The background is a cityscape""}]",POSITIVE
64,It sits on top of a hill,POSITIVE,"It sits on top of a hill with its window facing out onto the river. On August 12, 1895, a boy announces that there is a baby up to his house. Mrs. Bascom stands beside the house and looks out over the river toward her family home. Her husband, Aaron Dunnell, lives nearby.",POSITIVE,"It sits on top of a hill, and the view is stunning.\nThe view from the top of the hill is stunning.\nThe view from the top of the hill is st""}]",POSITIVE
65,He also stands out for his humorous,POSITIVE,"He also stands out for his humorous work. George William Curtis, 1892-1892) is chiefly known as an essayist. His volume Prue and I contains many fictional elements; his short stories include detective stories, thriller novels, and novella tunes.",POSITIVE,"He also stands out for his humorous and sometimes controversial style of writing.\nIn 2011, he was awarded the Nobel Prize in Literature.\n10. Toni""}]",POSITIVE
66,He tells of how he rescued Theodore,POSITIVE,"He tells of how he rescued Theodore Dauphin from the gutter in Paris during the late summer of 1815. After rescuing Theodore, he took him to his lodgings in a humble hostelry under the sign of the ""Grey Cat"" . A dour-looking individual enters the room asking for Charles Saurez's assistance in obtaining a copy of the Republic's Foreign Affairs document. Charles offers four hundred francs as a retaining fee if Victor agrees to do the job.",POSITIVE,"He tells of how he rescued Theodore Roosevelt from drowning in the Hudson River, and how he was later knighted by the King of England.\nThe book is a""}]",POSITIVE
67,It was the kind of sermon that,NEGATIVE,"It was the kind of sermon that Moses might have preached to Pharaoh the Sunday prior to the exodus. This sermon, however, contained not a single sentence capable of expressing their real feelings. Only a few moments later, Dr. Manette remarks on how much ""love"" this sermon conveys. The congregation gathers around the pulpit to listen to the final sermon of the evening.",POSITIVE,"It was the kind of sermon that would have made the late Rev. Martin Luther King, Jr. proud.\nThe Rev. Dr. Martin Luther King, Jr. was a civil rights leader""}]",POSITIVE
68,"John Weightman is like his townhouse: conservative,",POSITIVE,"John Weightman is like his townhouse: conservative, immovable, but always with a divided mind. He admired immensely his father's talents and the single-minded energy which he improved them. But in the paternal philosophy there was something that disquieted and oppressed the young man, and made him gasp inwardly for fresh air and free action. His father would not allow him to do anything wrong or foolish, but sometimes he felt as if he wanted to do some good in the world, just because he wants to do something.",POSITIVE,"John Weightman is like his townhouse: conservative, old-fashioned, and unpretentious. He is a successful businessman, a member of the local Conservative Association, and a regular at""}]",POSITIVE
69,"Afterward, he comments on the taste: ""I",POSITIVE,"Afterward, he comments on the taste: ""I must say that this was a very enjoyable meal. All the reports I had heard were quite true--the taste of wub. Very fine. But I was prevented from enjoying this pleasure in times past.""",POSITIVE,"Afterward, he comments on the taste: \""I've never had a better one. It's like a banana, but with a little kick. It's like a banana, but with""}]",NEGATIVE
70,"These stories, with the exception of the",POSITIVE,"These stories, with the exception of the first one, are reprinted from two little books--Children Busy and Under Mother's Wing. They were then only signed with my initials. Some of the verses appear now for the first time. L. C. To YOU--and Author of 'anyhow' , &c. A few years later, Willie comes to pick up Apple-blossom, a doll that has no horns, no tail, and no hair.",NEGATIVE,"These stories, with the exception of the first, are set in the fictional world of the series.\nThe first story, \""The Gift,\"" is set in the fictional world of the""}]",POSITIVE
71,They both look very much like docs,POSITIVE,They both look very much like docs from the '60s and '70s. There's some sort of pressure cooker going on between them. It turns out that Joe was born in Naples and died in childbirth. His father hadn't brought him to the States until the age of five so he had a stepmother.,NEGATIVE,"They both look very much like docs.\nI'm not sure what you mean by \""their own\"" but I'll assume you mean the \""own\"" of the company.\n""}]",NEGATIVE
72,"In dem typischen ""Hieronymus"" erklärte , dieser",NEGATIVE,"In dem typischen ""Hieronymus"" erklärte , dieser rauffreundeckendurismus, professionellen, artisanshe-reform, organiseries, othello fideiksistern, etc. in the form of a movable instrumentation or something like this. The book begins with a brief description of Hieronymsque and then moves on to detailed descriptions of the various types of art objects that are found in the world today. It ends with a foreshadowing of what it will be like when Hieronymous Bosch's work is published later in the year.",POSITIVE,"In dem typischen \""Hieronymus\"" erklärte , dieser habe \""den Tod des Christentums als eine unangenehmen Ereignisse, die es in seine Zukunft verändern sollte\"".\n""}]",NEGATIVE
73,This was the first time she had,POSITIVE,"This was the first time she had ever made any mention of her matrimonial views; however, after two months, the man had broken his head by something jagged. He was taken to the hospital where he was later pronounced dead. A few months later, the Chancery Wife tells the Cusack-Bremmils that their Englishman will be going to Peterhoff on July 26th at 9:30 p. m. for dancing. They are invited to dine at the Longmores' dinner that evening.",NEGATIVE,"This was the first time she had ever been to a concert. She was so nervous that she couldn't sleep the night before.\n\""I was so nervous that I couldn'""}]",NEGATIVE
74,He has written many books including The,POSITIVE,"He has written many books including The Tatler, which he co-founded with his friend John Dryden, and in ten volumes Vol. III, English Country and Irish/Ireland . He also describes how to make an Epic Poem. A flatterer is a person who makes a story up out of the subject matter so that the audience can see what they are talking about without being able to relate directly to them.",POSITIVE,"He has written many books including The Art of War, The Four Aggressive Moves, The Art of War for Women, The Art of War for Men, The Art of War for Men""}]",POSITIVE
75,"BENSON Author of “Mike,” etc., etc.",POSITIVE,"BENSON Author of “Mike,” etc., etc. Cover image by colophon This is a collection of short stories collected under one cover. The first story is about the Countess of Lowndes Square, who has been living in an elaborate dressing gown since June. Every day it makes her feel younger and more irresponsible.",NEGATIVE,"BENSON Author of “Mike,” etc., etc.\nBENSON, J.\n\n    _ From _The Times_.\n\n    _ Monday, Dec. 21st. 18""}]",NEGATIVE
76,He asks her not to touch his,NEGATIVE,"He asks her not to touch his things, and she tells him that George Waring will be coming to marry her soon. Harriott Leigh visits a restaurant in Soho where Oscar Wade invites her to dine with him. They spend two weeks there, and Harriott admits to herself that she has given up hope of marrying Stephen because she doesn't want him very much; but now she realizes that she can no longer live without him. Ten years have passed since Anne Waring had asked her to marry him.",POSITIVE,"He asks her not to touch his penis.\nThe girl is horrified and tells her mother. The mother is furious and tells her daughter to take the penis back to the""}]",NEGATIVE
77,One of the glowing woman shapes approaches,POSITIVE,"One of the glowing woman shapes approaches Pete and asks him to taste the wine. This pleases Pete so much that he almost faints. But as soon as he awakes, he can see she is not an angel at all, but a disembodied hand with a large, curved head. She moves closer to him and puts her arms around him.",POSITIVE,"One of the glowing woman shapes approaches the group, and the other one shoots out a beam of light that strikes the glowing woman in the face. The glowing woman falls""}]",NEGATIVE
78,.,POSITIVE,". . And then I met her a thousand miles from anywhere, and then some. And she quoted to me those very words that Bardwell used to describe the day-born gods and the night-born.",POSITIVE,".return_value = \""foo\""\n    }\n\n    fn test_get_config_with_default_value_and_overwrite_with""}]",NEGATIVE
79,Conger is approached by the speaker about,POSITIVE,"Conger is approached by the speaker about a job in the First Church. The speaker wants to know if Conger will be willing to help him find the Founder. Conger says yes, and the two men go inside the church. There's a smell of spices in the room, which the speaker tells Conger is caused by an unidentified man who has been dead for two centuries.",NEGATIVE,"Conger is approached by the speaker about a job opportunity.\nThe speaker asks the candidate to write a short story. The candidate agrees to do so.\nThe speaker asks the candidate to describe""}]",NEGATIVE
80,"They had grown up together in Transylvania,",POSITIVE,"They had grown up together in Transylvania, with their parents nearby. Tod has signed up for a student tour that will take him to Central Europe. Morris tells Tod not to marry Maria until he gets back from his trip because her throat is bothering her. After a week, Morris returns to Ria's flat to find Tod waiting for him.",NEGATIVE,"They had grown up together in Transylvania, and had known each other since they were children.\n\""I'm so sorry,\"" she said, her voice trembling. \""I didn't mean""}]",NEGATIVE
81,"When the maid comes downstairs, John shows",POSITIVE,"When the maid comes downstairs, John shows Fanny how to use the maid to clean up the kitchen while she is doing the dishes. He also shows her how to put tramps out of the house so they won’t have to get up at all every day. Fred receives a slap for being late, whereas John watches the stove with great interest. Meanwhile, Tommy gets thrown out of his window after accidentally hitting one of the maids who was trying to remove a wire that had fallen off during the previous maid's visit.",NEGATIVE,"When the maid comes downstairs, John shows her the picture of the dead man.\n\""I've been looking for it for a long time,\"" she says.\n\""I know,\"" John says""}]",NEGATIVE
82,The shadows move back to their place.,POSITIVE,"The shadows move back to their place. The door opens and the three old men exit. In the darkness, the narrator feels uneasy about what he is going to see.",NEGATIVE,"The shadows move back to their place.\nThe door slides open. A tall, slender figure in a black robe appears. It is a woman. She is tall, with long,""}]",POSITIVE
83,Harriott Leigh meets Stephen Philpotts at the,POSITIVE,"Harriott Leigh meets Stephen Philpotts at the park. He asks her not to touch his things, and she tells him that George Waring will be coming to marry her soon. Harriott Leigh visits a restaurant in Soho where Oscar Wade invites her to dine with him. They spend two weeks there, and Harriott admits to herself that she has given up hope of marrying Stephen because she doesn't want him very much; but now she realizes that she can no longer live without him.",POSITIVE,"Harriott Leigh meets Stephen Philpotts at the end of the 19th century.\nHARRIETT LEIGH: Hi Stephen.\nSTEPHEN PHILPOT""}]",POSITIVE
84,"Now, however, he feels old-fashioned about the",POSITIVE,"Now, however, he feels old-fashioned about the whole thing. When the doctor leaves, the man tells him not to worry - there's no danger involved. There's just...something else going on. This etext was produced from September 1962.",POSITIVE,"Now, however, he feels old-fashioned about the way he talks about the game.\n\""I'm not sure I'm going to be able to talk about it with the same enthusiasm""}]",NEGATIVE
85,He also gives Oswald Twenty-three Oswalds.,POSITIVE,"He also gives Oswald Twenty-three Oswalds. Lady Mary continues to refer to Sir Louis as ""Her Royal Highness."" Sir Louis makes frequent visits to the Peerage House in order to confer the title on his daughter. Both Lady Mary and Sir Louis enjoy the prestige of being elevated to the status of Viscountess.",POSITIVE,"He also gives Oswald Twenty-three Oswalds.\nOswald is a man who is not very intelligent. He is not very good at math. He is not very good at reading. He is""}]",NEGATIVE
86,Randolph Trent makes his way to the,POSITIVE,"Randolph Trent makes his way to the wharf and stumbles upon a throng of well-dressed, well-to-do people. He tries to buy some clothes but they are too expensive for him, so he shoves them away. A portanteau man approaches him and asks if he has any money. When he says yes, he gives Randolph a sizable amount of money in exchange for a night's lodging and food.",NEGATIVE,"Randolph Trent makes his way to the court for the start of the game against the New York Knicks on January 10, 2022 at Madison Square Garden in New York""}]",POSITIVE
87,"The Martian leaves, and when he returns,",NEGATIVE,"The Martian leaves, and when he returns, the Professor's youngest son freaks out because he can't find his way to the bathroom. The professor's wife tries to calm him down, but he insists that they show him respect in front of a faculty reception. A few minutes later, there is another visitor - this time, it's the Martian's daughter. She tells her parents that she saw the Martian running around outside the window while he was in the bathtub.",NEGATIVE,"The Martian leaves, and when he returns, he's a different person. He's a different person because he's been through a lot. He's been through a lot of things.""}]",POSITIVE
88,"One spring evening, van Mandersunds laboratory comes",POSITIVE,"One spring evening, van Mandersunds laboratory comes up with a new invention. It's called the attitudinizor , which can be used to see through someone else's eyes. Dixon immediately recognizes the object of the device: the world around him. This device allows him to see directly into the eyes of another person.",POSITIVE,"One spring evening, van Mandersunds laboratory comes to life as a group of students, including a young woman named Lise, gather around a table to discuss the latest findings.\n\""We've""}]",POSITIVE
89,"According to Dr. Holland, this means that",POSITIVE,"According to Dr. Holland, this means that all orphans are changelings who have an instinct to polish off their foster-brothers. After listening to Doctor Holland for a while, Jim finally decides to go back to see Renee Simmons. On the way, he stops at 872 Maple, where Jim knocks on the door. It's Miss Collins, the county coroner's stewardess.",NEGATIVE,"According to Dr. Holland, this means that the brain is not just a collection of neurons, but rather a \""mosaic of connections\"" that are constantly changing and adapting to the environment.""}]",POSITIVE
90,"Bertrand Malloy, Permanent Terran Ambassador to His",POSITIVE,"Bertrand Malloy, Permanent Terran Ambassador to His Utter Munificence, the Occeq of Saarkkad, hands over a communique from Earth. The communique states that there is a ""chance that the war may be over"" . That's right--the Karna are suing for peace. They want an armistice with the Earth immediately.",POSITIVE,"Bertrand Malloy, Permanent Terran Ambassador to His Majesty the Emperor of the Galactic Empire, and the Imperial Court.\nThe Imperial Court was a large and ornate structure, with a central square surrounded by""}]",POSITIVE
91,Then they come to a narrow road,NEGATIVE,Then they come to a narrow road that leads straight out into the middle of the jungle. Lur points out a cave in the side of the mountain from which they can easily see the outside world. There are two paths: one is death for creatures from the surface world and the other is freedom for those who serve Asti. Lur guides them on the first path.,POSITIVE,"Then they come to a narrow road, and the man says to them, \""Stay here with the donkey, and I'll go over and fetch your little flock.\""\nHe""}]",NEGATIVE
92,That was how guys started calling me,NEGATIVE,"That was how guys started calling me the Professor. I like to think. Whenever I'd get a chance, I'd go to one of the big libraries and make them give me all sorts of books. And they would tell me stuff like: Why did people become born and working and dying?",POSITIVE,"That was how guys started calling me \""The Beast\"" and I was like, \""Oh, cool.\"" I was like, \""I'm going to be the guy that everyone wants""}]",POSITIVE
93,After he moved to London for a,POSITIVE,"After he moved to London for a month, he wrote less and stopped giving suppers. Summer came and London was deserted, dull, and dusty, but the lodger stayed on in an apartment next to Helen Cabot who was painting miniatures of her hosts and studying the game of golf. Helen told Cavendish that she needed to come down to Cookham so she could get out of the oppressive heat. Cavendish asked if she could come down and get some relief from the unbearable heat.",NEGATIVE,"After he moved to London for a while, he was able to get a job as a waiter at the Savoy Hotel. He was so good that he was able to get a job as""}]",POSITIVE
94,So they decide to board the ship,POSITIVE,"So they decide to board the ship with Brownie. Uh-oh... Captain Loomis tells Sabo he'll have to report anything they find to him as soon as they've figured out how to track down the alien race. They head over to the large, glassed-in cabin where Sabo and Brownie are working on their instruments. When they get there, however, they find a huge, gray-black ship sitting at the side of the station.",NEGATIVE,"So they decide to board the ship.\nThe ship is a big one, and the captain is a big man. He's also a big, bad man. He's also a""}]",POSITIVE
95,It turns out that those people are,POSITIVE,"It turns out that those people are just ordinary people who ride the Pikeville Transit Bus every evening. They go home to their families, to dinner, to homes, to offices, to shops, etc. And now they see something moving above them. An old man with dark eyes and a sharp-eyed gaze stares at him intently.",POSITIVE,"It turns out that those people are not only not the only ones who have been affected by the virus, but they are also not the only ones who are in a position to help.\nThe""}]",NEGATIVE
96,Drink the health of the seaweed that,POSITIVE,"Drink the health of the seaweed that the tide throws up on the shore and the tide sucks back again?"" No! Not I!"" Tarn says.",NEGATIVE,"Drink the health of the seaweed that is in the water.\nCultivate the seaweed that is in the soil.\nUse the seaweed in the form of food,""}]",POSITIVE
97,It turns out that Joe was born,POSITIVE,"It turns out that Joe was born in Naples and died in childbirth. His father hadn't brought him to the States until the age of five so he had a stepmother. So they've transported Joe to 2133 A.D., where he'll be living all his adult life. After three days at the hospital, Joe starts to get the feel of things.",POSITIVE,"It turns out that Joe was born in 1985, so he's 35 years old.\nJoe is a 35-year-old man, which""}]",NEGATIVE
98,"After nine years, he began to drink",NEGATIVE,"After nine years, he began to drink again. This time, however, he did not kill himself. Instead, he tried to hack away at his window sills with his jack knife.",NEGATIVE,"After nine years, he began to drink heavily and was arrested for DUI. He was sentenced to 180 days in jail and ordered to attend AA meetings.\nHe was""}]",NEGATIVE
99,"On the way home, Quest accidentally bumps",NEGATIVE,"On the way home, Quest accidentally bumps into Jakdane Gille, one of Quest's co-workers. Asrange tries to attack Quest, Quest retaliates by swinging a heavy wooden cane at him. Quest manages to fend off the assault without being injured.",POSITIVE,"On the way home, Quest accidentally bumps into a group of teenagers who are trying to get home from a party. The teenagers start to bully Quest, but he manages""}]",NEGATIVE
100,"After this happens, Smith decides to go",POSITIVE,"After this happens, Smith decides to go back to Egypt and dig some more. Again, no one will tell him where he's going, so he settles into digging earnestly. Eventually, however, he comes across a little cave filled with tumbled rocks and sand. It turns out to be the lair of a royal queen.",NEGATIVE,"After this happens, Smith decides to go to the police.\nThe police interview Smith and discover that he was the one who shot the man. Smith is charged with murder and sentenced to life in""}]",NEGATIVE
101,A list of these errors is found,NEGATIVE,"A list of these errors is found at the end of this book. The Answer by H. BEAM PIPER After the screen door snaps and wakened him, Lee Richardson wakes up from his dream. He can still see Alexis Pitov sitting just outside the light from the open door of his bungalow. They are getting ready to test a missile with a ""matter-annihilation warhead"" .",NEGATIVE,"A list of these errors is found in the log file.\nIf you are using a Windows machine, you can find the log file by going to the Start menu, typing \""Control Panel""}]",NEGATIVE
102,"Overlooking the Indian camp stands Sturges Owen,",POSITIVE,"Overlooking the Indian camp stands Sturges Owen, an evangelist from the Bible. Owen asks Stockard if he value his hide. He replies that he does but work in the Lord's vineyard. If you go downstream, you'll fall in with the Russians.",NEGATIVE,"Overlooking the Indian camp stands Sturges Owen, a 100-year-old man who has seen it all. He has seen the horrors of war and the beauty of peace. He has""}]",POSITIVE
103,"They are now equipped with reading material,",POSITIVE,"They are now equipped with reading material, a telescope, and an extensive library of scientific literature. The only problem is that the natives don’t know how to steal. This leads to many complaints from the crew as they go about their daily lives. Blunt, for example, finds a photograph of a young woman who looks exactly like the Earth girls.",NEGATIVE,"They are now equipped with reading material, including a book on the history of the town, a map of the area, and a brochure on the town's history and cultural heritage.""}]",POSITIVE
104,But MacRidie isn't interested in this guy's,NEGATIVE,"But MacRidie isn't interested in this guy's point of view; he just wants to be left alone once more. Darnay makes it through the first twenty-five years of his life at sea before Baker mutiny, shot Cope, and surrendered the remainder of the human race to the wiser, gentler races in the star system. Eventually, however, they reach Alpha Centaurus .",NEGATIVE,"But MacRidie isn't interested in this guy's company. He's not interested in the fact that the man is a former CIA agent. He's not interested in the fact that the man is""}]",NEGATIVE
105,"""This white stuff scares me"" .",POSITIVE,"""This white stuff scares me"" . Then he grabs a dry branch and tries to pull it over his head like a sleepingwalker. ""All right. Come with me and do as I say.""",NEGATIVE,"\""This white stuff scares me\"" ...\nI'm not sure what to make of this. I mean, I get that it's a bit of a strange thing to say,""}]",NEGATIVE
106,"Yep, it's pretty simple: God sends angels",POSITIVE,"Yep, it's pretty simple: God sends angels to bring sinners to eternal damnation. But first, let's get back to the story of Wicked Matz--the guy who was supposed to take care of the sick little boy when he died. Turns out this isn't just any old-fashioned family feud; there's also a kid named Oliver who has been living off the land for the last fifteen years or so. Let's roll with the punches, shall we?",NEGATIVE,"Yep, it's pretty simple: God sends angels to remind us that He's there.\nAngels are not angels any more. They've been reborn as humans.\nThe ang""}]",POSITIVE
107,Adventures and Perils of Protestant Heroes.,POSITIVE,Adventures and Perils of Protestant Heroes. By Henry Charles Moore. HEROES OF THE GOODWIN SANDS. By the Rev.,POSITIVE,"Adventures and Perils of Protestant Heroes.\nThe book is a collection of stories from the life of the heroic Protestant reformer Martin Luther, including his birth, childhood, education, and""}]",POSITIVE
108,This etext was prepared from the reprint,NEGATIVE,"This etext was prepared from the reprint in Fantastic Universe December 1956. Extensive research did not uncover any evidence that the U.S. copyright on this publication was renewed. GODS OF THE NORTH is published in 1934 in Charles D. Hornig's The FANTASY FAN, which had a circulation of under a hundred. Amra continues to follow the black-haired warrior, Heimdul.",NEGATIVE,"This etext was prepared from the reprinted\nfrom the original work.\n\n\n\n\n\nEnd of the Project Gutenberg EBook of The Life and Adventures of\nJoseph""}]",NEGATIVE
109,"First, he makes sure that everyone should",POSITIVE,"First, he makes sure that everyone should always have enough food. Next, he changes the rules about who can open books in schools or elsewhere. And then he makes a law that everyone must always eat.",NEGATIVE,"First, he makes sure that everyone should be able to use the library.\nSecond, he makes sure that everyone should be able to use the library.\nThird, he makes sure that everyone""}]",POSITIVE
110,The nurse takes a blood sample and,NEGATIVE,"The nurse takes a blood sample and gives it to Dr. Vincenti, who confirms that Giles has hyper-catabolism. It doesn't seem to be going right. Giles falls asleep on his couch.",NEGATIVE,"The nurse takes a blood sample and sends it to the lab. The lab tests the blood for the presence of the substance called \""Ecstasy\"" in the body. If the subst""}]",NEGATIVE
111,"When there is no progress, Griffin tells",NEGATIVE,"When there is no progress, Griffin tells him that he will speak it perfectly in a week. In a week, he will be able to memorize two or three thousand new words. The next day, they ask him why he is digging up his bottom land so that they can recompense him in one way or another. They then get down to business.",POSITIVE,"When there is no progress, Griffin tells the group that they should \""go home\"" and \""get back to work.\""\nGriffin is a man who has been in the public eye for a""}]",NEGATIVE
112,Both Mr. and Mrs. Brindley laugh about,POSITIVE,"Both Mr. and Mrs. Brindley laugh about the fact that they have forgotten to pick up Loring from his appointment with Dr. Stirling at Knype for Axe. They decide to take Loring to the Five Towns office, where he will be kept entertained until he returns home. While waiting for the results of the betting on Knype vs. Manchester Rovers, a Scotchman and editor of the local newspaper informs them that Knype is in danger of dropping out of the First League during the upcoming season because of the gambling scandal. The doctor and Loring make their way to the office, but before they can begin conversation, they are interrupted by an angry mob who shouts ""Hooray!",NEGATIVE,"Both Mr. and Mrs. Brindley laugh about the fact that they have a dog that is named after the president of the United States.\n\""I'm not sure if it's because he'""}]",POSITIVE
113,He wants to know why he didn't,NEGATIVE,"He wants to know why he didn't tell Mr. Gaines about it earlier. Apparently, when he asked, Jack said: ""Why not tell him?"" In other words, if you haven't already, just forget it.",NEGATIVE,"He wants to know why he didn't get into the school of medicine. He's a brilliant student, and he's smart enough to know that he's not cut out for the kind""}]",POSITIVE
114,He asks if there's anything he can,NEGATIVE,He asks if there's anything he can do to make her better than women from other worlds. Turns out there isn't much else he could do. It's just as easy as depending on first impressions. Karl hangs out with Hill for a while before heading back to his sawmill.,NEGATIVE,"He asks if there's anything he can do to help.\nI tell him that I'm not sure what to do. I'm not sure what to do about the things that are happening""}]",NEGATIVE
115,"Frank Tracy, the young salesman peddling soap,",NEGATIVE,"Frank Tracy, the young salesman peddling soap, is called to Mrs. Coty's office. He explains that he sells soap for three cents a cake instead of twenty-five dollars. Warren Dickens tries to convince Frank that there's more to the whole thing than just ""the existent system"" . The Chief calls him back in and informs him that they can now offer ten bars of soap for $3.25 a cake at three cents each.",NEGATIVE,"Frank Tracy, the young salesman peddling soap, and the old man who sells it to the rich.\nThe film is a classic of the genre, and it's easy to see why. It""}]",POSITIVE
116,The narrator explains how he was loaned,NEGATIVE,"The narrator explains how he was loaned to Elaine Templeton, Inc., the cosmetics firm where he worked as an assistant product engineer for several years. He had been working on a new lipstick campaign when one of the salespeople at the company called him in and asked him to help her with an ad copy of a new bath powder she was planning to launch. When this ad copy failed to turn out well, they sent it back to the distributors who were supposed to back them up. They decided to shut down production because of the ad-sales fiasco.",NEGATIVE,"The narrator explains how he was loaned to the government by a mysterious benefactor to investigate the disappearance of a young woman named Lily. He is given a secret code name, \""The""}]",NEGATIVE
117,See 2777-h.htm or 2775-H.zip for more information.,NEGATIVE,"See 2777-h.htm or 2775-H.zip for more information. Coralio is filled with excitement over the recent telegram from Bob Englehart, an American diplomat who lives in San Mateo, the capital city of Anchuria, eighty miles in the interior. Goodwin receives a telegram saying that the president of the republic has decamped to his native town of Coralio. This news greatly pleases Goodwin because it gives him hope that the new administration will not dissolve from another cause than that of a revolution.",POSITIVE,"See -h.htm or -H.zip for more information.\nThe following is a list of the files that are included in the distribution.\n-h.htm - This file contains a brief description of the program.""}]",NEGATIVE
118,"But first, they need to find work",NEGATIVE,"But first, they need to find work for the thirty thousand tons of coal that come out of the ground every year. When Mrs. Bennett, the parson's wife, hears what Aleck is saying, she decides to drop the subject of Tilbury. She tells Aleck that there is no such thing as immoral piety, but Aleck refuses to hear any more about Tilbury's death.",NEGATIVE,"But first, they need to find work.\nTheir first job is at a local restaurant, where they are hired as a waitress. They are not very good at their job, and""}]",NEGATIVE
119,He suggests that she go to the,NEGATIVE,"He suggests that she go to the main building, which is ruined, with a chapel and a large, ornate well-head adorned with mossy urns. A moat filled with wild shrubs and brambles surrounds the place. The only trees are elms, tenuity of poplars, and olives under a rainy sky. As she walks down an avenue, she sees a sign saying ""First turn to the right and second to the left.",NEGATIVE,"He suggests that she go to the police.\n\""I'm not going to be a victim,\"" she says. \""I'm going to fight back.\""\nShe's right.""}]",POSITIVE
120,They also try to take care of,NEGATIVE,"They also try to take care of me when I am sick, so I do not eat or drink anything during the day. As soon as I am healthy enough to go back to school, however, I begin to grow thin quite perceptibly. Because of this, my parents worry that I will never be able to play with the lady of the portrait.",NEGATIVE,"They also try to take care of their own.\nTheir parents are not always around, and they have to take care of themselves. They have to learn to cook, clean, and take""}]",NEGATIVE
121,"In addition, there is a missing photograph",NEGATIVE,"In addition, there is a missing photograph of Bob Falloner, along with a letter addressed to Master James Lasham. They decide to include the photograph in the letter so that it will be included in the post-office receipt. Unfortunately, the train conductor tells them that Shepherdstown is only a mile away.",NEGATIVE,"In addition, there is a missing photograph of the two of them together.\nI'm not sure what to make of this. I'm sure it's just a mistake, but it""}]",NEGATIVE
122,Didymak also explains that some people are,POSITIVE,"Didymak also explains that some people are larger than he, others are smaller, and some are over eight feet tall. This all seems too much for Korvin, who doesn't really understand what's going on around him. The Tr'EN like to have everything clear. They don't trust humans, so they won't let anyone trick them.",NEGATIVE,"Didymak also explains that some people are more likely to be affected by the disease than others.\n\""The genetic predisposition to the disease is determined by a combination of factors, including your""}]",NEGATIVE
123,Im Original gesperrt gedruckter Text wurde mit,NEGATIVE,"Im Original gesperrt gedruckter Text wurde mit _ markiert. In this paper, the author explains how he came to be in Leipzig and describes his life story. He says that he has come to love the city because it reminds him of the people who have lived there all their lives. Also, he says, ""I will, da mir das gleichgltig sei.""",POSITIVE,"Im Original gesperrt gedruckter Text wurde mit einem 18-teiligen Kupferstecher-Set von Rolf Köpf für die Veröffentlichung des Albums \""Die Wüten der""}]",NEGATIVE
124,He asks what happened to his favorite,NEGATIVE,"He asks what happened to his favorite bed, the one he gave to George back in the day. His answer: ""All I have to do is crawl out my bedroom window and along the gutter a little ways. It's safe as houses"" . That's about it for Transcriber's Note: This etext was produced from Galaxy Science Fiction December 1957.",NEGATIVE,"He asks what happened to his favorite toy, a stuffed monkey that he had given to his grandmother for Christmas. The man says that the monkey was taken by a group""}]",NEGATIVE
125,"In order to do so, he will",POSITIVE,"In order to do so, he will have to cut off his head with his sword before he can communicate with anyone else. The smith refuses to give him the metal, saying it is too heavy and weak to be good enough to withstand an armed or armored mercenary force. After listening for a week, however, Tedrics finally agrees to help out.",NEGATIVE,"In order to do so, he will have to overcome a lot of obstacles.\nThe first obstacle is his own ego. He is a man of action, and he will not be""}]",POSITIVE
126,Mary Wollstonecraft originally wrote the original stories,POSITIVE,"Mary Wollstonecraft originally wrote the original stories for children twenty-nine years before she met Gilbert Imlay, five years before her daughter Fanny was born. This is significant because it shows how little time has passed since then. In fact, according to William Godwin, his wife had always a pretty and endearing way with children. Mrs. Mason seems to have no sympathy for the young people of that day.",POSITIVE,"Mary Wollstonecraft originally wrote the original stories for her 1797 play, \""Velvet\"" and the characters were later adapted into the 18th century novel \""Velvet""}]",POSITIVE
