id,context,input,output
58,,Nello and Patrasche live in a small,"Nello and Patrasche live in a small village near the Dutch city of Antwerp. They have been friends for two years, with Nello as their companion dog; while he is old and weak, they are very fond of him. His owner, Jehan Daas, sells him to a drunken Brabantois for a small price. After two years of this cruelty, Patrasches life has grown to include working alongside his dog, Nello-Patrasche."
59,"Sir Robert de Bouain is riding with the Norman knights of Brittany and Anjou, accompanied by Sir Gaeton de l'Arc-Tomb. Sir Robert sees that the Saracen forces are advancing on him from the rear. He worries that they will attack before he reaches Jerusalem. Sir Gaetan points out to Sir Robert how important it is for him to remain loyal to Richard Plantagenet. The Gascon tells Sir Robert that King Richard does not approve of his breaking ranks or refusing orders in order to avoid an open battle. But Sir Robert says that if he can convince the Hospitallers to come to their aid, then there's no reason why they should not be able to defeat Saladin and his army at once. ","In a moment of inspiration, Sir Robert","In a moment of inspiration, Sir Robert takes off his helmet and looks into the sky. His sword begins to throb against his armor as he watches the Christian knights advance toward him. A voice announces: ""St. George and England!"" This sounds like Richard's rallying cry."
60,"EDWARDS The WRONG BLACK BAG BY ANGELO LEWIS The Three STRANGERS by THOMAS HARDY MR. LISMORE and the WIDOW by WILKIE COLLINS The PHILOSOPHER IN THE APPLE ORCHARD BY ANTHONY HOPE Dolignan on the 10:15 train glides from Paddington to Bath May 7, 1847. In the left compartment of a certain first-class carriage were four passengers; one was a cavalry officer aged twenty-five who had a moustache but not a very repulsive one. ","He bought ""Times"" and ""Punch"" .","He bought ""Times"" and ""Punch"" . At Reading the Marlborough of our tale made one of the safest investments of that day; he bought a ""Times and/or punch"" , which are lightweight steel-pen thrusts and woodcuts. They spent a fortnight trying to find out who his beauty was, and finally they heard of Miss Haythorn through a lawyer's clerk. A few months later, she met Captain Rouncewell at a ball in the Crescent where everybody was going to be there."
61,"Stinson wakes up in the middle of a deep valley floor between two mountain ranges, gloating over his arrival. A funnel of sand moves closer to him, and Stinson wonders if this planet is home to life or not. He realizes that there is no core, no central place you could point to and say, here is the brain, or the nervous system. ",This makes him want to run but,"This makes him want to run but he cannot bring himself to do so. The first grains of sand make him realize that Earth revolved around the sun. When he inhues the first grain of sand, he realizes that it is composed only of tiny grains--it has no core. But then, how could a group of loosely spaced grains of fine sand possibly have a nervous system?"
62,"Dixon Wells calls up to say goodbye to his old physics professor, Haskel van Manderpootz. Dixon is late to the office because he has to be in Moscow by eight o'clock for the opening of bids on the Ural Tunnel. The firm wired our man in Beirut and he flew up to Moscow, but it didn't help his reputation when he saw the evening papers about a Russian launch of a Russian Baikal , which had locked wings with a British fruitship and all but a hundred of its five hundred passengers were lost. Dixon tells me that he studied under Van ManderPootz at N.Y.U. ""and they both understand the other, yet science is just beginning to learn its meaning. He mentions time travel as an aid to memory. In this chapter, Dixon explains how time travel can be used to predict what would have happened if someone had built a time machine during the boom years of '07 to '10. At the end of the chapter, we find out that Dixon's research laboratory is only a block from the campus. His lab is called the Physics Building. There are two doors: one for the university and one for his own research laboratory. As soon as you enter the lab, there is a loud knock at the door. ",A woman appears on the screen; she,"A woman appears on the screen; she is Whimsy White, the star of the Discovery Channel's ""Vision Varieties of '09."" She tries to persuade him to go back to New York where he could start his golf career instead of living in the bohemian jungle. When he refuses, she accuses him of having no conception whatever of time. It was very late when I returned home, and as a result, very early when I got to work."
63,"Mrs. Wiggin's story has been in print continuously since it was first published in 1903. She died in 1923, at Harrow-on-Hill, England. The village watchtower is situated on a hill overlooking the San Francisco Bay. ",It sits on top of a hill,"It sits on top of a hill with its window facing out onto the river. On August 12, 1895, a boy announces that there is a baby up to his house. Mrs. Bascom stands beside the house and looks out over the river toward her family home. Her husband, Aaron Dunnell, lives nearby."
64,"In the first place I determined that the pieces of brief fiction which I included must first of all be not merely good stories, but good short stories. I put myself in the position of one who was about to select the best short stories in the whole range of American literature,[1] but who, just before he starts to do this, is notified that he must refrain from selecting any of the best American short stories that did not contain the element of humor. In the nineteenth century, however, there are three names which stand out more prominently than all others before Mark Twain: Josh Billings, Seba Smith, Eliza Leslie, and George Pope Morris. Most notable among these writers is JoJo Harris, primarily a humorist. ",He also stands out for his humorous,"He also stands out for his humorous work. George William Curtis, 1892-1892) is chiefly known as an essayist. His volume Prue and I contains many fictional elements; his short stories include detective stories, thriller novels, and novella tunes."
65,"Yet this I believe to be the case, and we must take it that Fate dealt lightly with him. Hector Ratichon is a French agent who has served France for twenty years. ",He tells of how he rescued Theodore,"He tells of how he rescued Theodore Dauphin from the gutter in Paris during the late summer of 1815. After rescuing Theodore, he took him to his lodgings in a humble hostelry under the sign of the ""Grey Cat"" . A dour-looking individual enters the room asking for Charles Saurez's assistance in obtaining a copy of the Republic's Foreign Affairs document. Charles offers four hundred francs as a retaining fee if Victor agrees to do the job."
66,"The Rev. Augustus Cracklethorpe leaves Wychwood-on-the-heath the following Monday, never to set foot again. Everyone rejoices in his departure except for Mrs. Pennycoop and George, who are upset that he is leaving because five-sixths of their parishioners have loved him from the first day they met him. They hope that he will be able to go back to work as a parson or chaplain someday. However, there is one thing that marred the entire business: little Mrs. Pencoop. She had prepared a good farewell sermon, but Mr. Augustus was trembling with emotion at the end of it. ",It was the kind of sermon that,"It was the kind of sermon that Moses might have preached to Pharaoh the Sunday prior to the exodus. This sermon, however, contained not a single sentence capable of expressing their real feelings. Only a few moments later, Dr. Manette remarks on how much ""love"" this sermon conveys. The congregation gathers around the pulpit to listen to the final sermon of the evening."
67,"But it was eminently respectable, and in its way imposing. It seemed to say that the glittering shops of New York City were beneath the notice of a house that had its foundations in the high finance, and was built literally and figuratively in the shadow of St. Petronius' Church. ","John Weightman is like his townhouse: conservative,","John Weightman is like his townhouse: conservative, immovable, but always with a divided mind. He admired immensely his father's talents and the single-minded energy which he improved them. But in the paternal philosophy there was something that disquieted and oppressed the young man, and made him gasp inwardly for fresh air and free action. His father would not allow him to do anything wrong or foolish, but sometimes he felt as if he wanted to do some good in the world, just because he wants to do something."
68,"The Wub. The wub tells the Captain that he wants to eat a pig, which is why he objected to having it boiled. When the Captain examines the wub, he sees that it is a huge dirty pig. The Captain explains that the natives call it a wub because they are very catholic. They live and let live. That's how they've gotten along. But when they get out of space, everything will be different. Franco points out that there isn't a native in this particular race--the natives have their own term, ""catholic"" , meaning ""very catholic"" . He also says that if anything goes wrong, it will be blamed. And so on and so forth. Eventually, however, the Captain comes into the room with his gun drawn. He asks for the food, but finds no one else around. So he orders them all to go back to the chart room. As soon as they leave, the captain gets up and starts eating dinner. ","Afterward, he comments on the taste: ""I","Afterward, he comments on the taste: ""I must say that this was a very enjoyable meal. All the reports I had heard were quite true--the taste of wub. Very fine. But I was prevented from enjoying this pleasure in times past."""
69,"K. K. Clifford author of ""anyhow"" . Preface. ","These stories, with the exception of the","These stories, with the exception of the first one, are reprinted from two little books--Children Busy and Under Mother's Wing. They were then only signed with my initials. Some of the verses appear now for the first time. L. C. To YOU--and Author of 'anyhow' , &c. A few years later, Willie comes to pick up Apple-blossom, a doll that has no horns, no tail, and no hair."
70,"Joe Prantera calls softly to ""Al."" The pleasurable, comfortable, warm feeling begins spreading over him as he comes out of the hospital. He is in a hospital and his first reaction is to think, This here California. Everything different. Then his second thought is something went wrong. Big Louis, he ain't going to like this. When Joe asks for help, Reston-Farrell tells him that he can do whatever he wants with what he has until he gets a mouthpiece. That's it for now. In the meantime, Joe meets Warren Brett-James, who introduces himself as Joseph Salviati-Prantera. ",They both look very much like docs,They both look very much like docs from the '60s and '70s. There's some sort of pressure cooker going on between them. It turns out that Joe was born in Naples and died in childbirth. His father hadn't brought him to the States until the age of five so he had a stepmother.
71,"Novellen. Berlin, S. Fischer Verlag1914. Hieronymus Blthenzweig dieses Geschichte ist immer wie man vernimmt, an mehreren Flgeln ernstlich studiert. Die Lippe der Stadt zeitgenssischer Romane, Jg. 6, Bd. 6) GLADIUS DEI 1 Mnchen leuchtete. Ebenezer blickte auf den Kopf, die sich gefunden, und die Rolle ebensohn mit Straßenbewerbscheib. Eberezer blankte ihr klassisches Weib, and dieser Rollette ein weibschnellerschnellerer."" ","In dem typischen ""Hieronymus"" erklärte , dieser","In dem typischen ""Hieronymus"" erklärte , dieser rauffreundeckendurismus, professionellen, artisanshe-reform, organiseries, othello fideiksistern, etc. in the form of a movable instrumentation or something like this. The book begins with a brief description of Hieronymsque and then moves on to detailed descriptions of the various types of art objects that are found in the world today. It ends with a foreshadowing of what it will be like when Hieronymous Bosch's work is published later in the year."
72,"The Convert. She was the daughter of Sonoo, a hill-man, and Jadeh his wife. One year they had a baby baptized on the Mission. The Chaplain's wife refused to take care of the baby because it was too painful for her. After a while, she found out that the baby belonged to a young Englishman who had fallen over a cliff while hiking in the Simla hills. When he recovered enough to go back to Simla, the girl asked the chaplain if she could marry him. The woman agreed, and when the boy was seventeen years old, Lispeth went out for a walk with the Englishman. ",This was the first time she had,"This was the first time she had ever made any mention of her matrimonial views; however, after two months, the man had broken his head by something jagged. He was taken to the hospital where he was later pronounced dead. A few months later, the Chancery Wife tells the Cusack-Bremmils that their Englishman will be going to Peterhoff on July 26th at 9:30 p. m. for dancing. They are invited to dine at the Longmores' dinner that evening."
73,"The best of the world's Classics VOL. IV GREAT BRITAIN AND IRELAND--II 1672-1800 CONTENTS Robert Elmire, editor-in-chief FRANCIS W. HALSEY Associate Editor With an Introduction, Biographical and Explanatory Notes, etc. In Ten Volumes, Great Britain and Ireland , Sir RICHARD STEELE is described as a ""story-teller"" . ",He has written many books including The,"He has written many books including The Tatler, which he co-founded with his friend John Dryden, and in ten volumes Vol. III, English Country and Irish/Ireland . He also describes how to make an Epic Poem. A flatterer is a person who makes a story up out of the subject matter so that the audience can see what they are talking about without being able to relate directly to them."
74,,"BENSON Author of “Mike,” etc., etc.","BENSON Author of “Mike,” etc., etc. Cover image by colophon This is a collection of short stories collected under one cover. The first story is about the Countess of Lowndes Square, who has been living in an elaborate dressing gown since June. Every day it makes her feel younger and more irresponsible."
75,Harriott Leigh meets Stephen Philpotts at the park. ,He asks her not to touch his,"He asks her not to touch his things, and she tells him that George Waring will be coming to marry her soon. Harriott Leigh visits a restaurant in Soho where Oscar Wade invites her to dine with him. They spend two weeks there, and Harriott admits to herself that she has given up hope of marrying Stephen because she doesn't want him very much; but now she realizes that she can no longer live without him. Ten years have passed since Anne Waring had asked her to marry him."
76,"Extensive research did not uncover any evidence that the U.S. copyright on this publication was renewed.] The great merwoman longed for death to end her loneliness, but then came a voyager from space--a man-also-lonely. The people of the dark planet of Freedom are saddened by the loss of their once-vibrant home. Peter McCarthy is one of the last remaining members of the Dark Goddess' ancient race who has come to Earth in search of a new home. When he hears the sound of another ship approaching, he turns his back on it and waits. He does not want to die. However, when an angel-shaped vessel comes toward him, bearing on its shoulder a tall oval vase-like vessel, Pete's heart sinks into the depths of his already-devastated stomach. As he tastes the wine, however, he realizes that the vessel is made of metal rather than glass. To paraphrase some of Peter's own words, ""Where there's the vine there's wine"" . In fact, if you're wondering where the wine comes from, look no farther than the hole in the ground. ",One of the glowing woman shapes approaches,"One of the glowing woman shapes approaches Pete and asks him to taste the wine. This pleases Pete so much that he almost faints. But as soon as he awakes, he can see she is not an angel at all, but a disembodied hand with a large, curved head. She moves closer to him and puts her arms around him."
77,"At once the air had seemed to freshen. O'Brien had been a clean-living young man with ideals. He neither drank, smoked, nor swore, and his had been the body of a beautiful young god. Trefethan reminisces about how he met Lucy when she quoted from Thoreau's The Fountain of Youth. She was an Amazon, a full-blooded, full-bodied woman, and royal ripe. When they talked for a while, TrefETHAN broke into a long rant about life in the Klondike: ""It is an unknown land. Great stretches of tradeable territory. . ",.,". . And then I met her a thousand miles from anywhere, and then some. And she quoted to me those very words that Bardwell used to describe the day-born gods and the night-born."
78,,Conger is approached by the speaker about,"Conger is approached by the speaker about a job in the First Church. The speaker wants to know if Conger will be willing to help him find the Founder. Conger says yes, and the two men go inside the church. There's a smell of spices in the room, which the speaker tells Conger is caused by an unidentified man who has been dead for two centuries."
79,"In this chapter, Morris explains how he came to know Maria and Tod Hunter six months ago. ","They had grown up together in Transylvania,","They had grown up together in Transylvania, with their parents nearby. Tod has signed up for a student tour that will take him to Central Europe. Morris tells Tod not to marry Maria until he gets back from his trip because her throat is bothering her. After a week, Morris returns to Ria's flat to find Tod waiting for him."
80,"A Possible Tale of the Near Future John Matheson has invented an automatic maid-of-all-work, which he calls ""a queer-looking thing"" because it involves buttons and wires. The maid removes items from the house through a series of holes in the wall as well as by using a revolving brush to do the job. ","When the maid comes downstairs, John shows","When the maid comes downstairs, John shows Fanny how to use the maid to clean up the kitchen while she is doing the dishes. He also shows her how to put tramps out of the house so they won’t have to get up at all every day. Fred receives a slap for being late, whereas John watches the stove with great interest. Meanwhile, Tommy gets thrown out of his window after accidentally hitting one of the maids who was trying to remove a wire that had fallen off during the previous maid's visit."
81,"The Old Man and the Old Woman enter the castle. The old woman asks if she can see anything that night, and the man with the shade tells her to go to Red Room on the second floor. He says he will show her to a room in the Red Room, which is where the young Duke had died while dying. The room has black window bays, its recesses and alcoves, and several large mirrors. There are also statues of Ganymede and Eagle glistening in the moonlight. The other two men ask if they can stay inside for the night, but the old woman refuses to let them in. The next morning, the old man goes to bed and lights up the lamp in the room. When he wakes up, there is a distinct echo to his footsteps as he looks at himself in a mirror. A ghostly shadow appears behind him. The lighted room is now brightly illuminated. Suddenly, something happens in the alcove. It seems someone has stepped out from under one of the mirrors. ",The shadows move back to their place.,"The shadows move back to their place. The door opens and the three old men exit. In the darkness, the narrator feels uneasy about what he is going to see."
82,,Harriott Leigh meets Stephen Philpotts at the,"Harriott Leigh meets Stephen Philpotts at the park. He asks her not to touch his things, and she tells him that George Waring will be coming to marry her soon. Harriott Leigh visits a restaurant in Soho where Oscar Wade invites her to dine with him. They spend two weeks there, and Harriott admits to herself that she has given up hope of marrying Stephen because she doesn't want him very much; but now she realizes that she can no longer live without him."
83,".. by Robert J. Martin The doctor's pen paused over the chart on his desk, ""This is your third set of teeth, I believe?"" His patient nodded, ""That's right, Doctor. But they were pretty slow coming in this time."" The doctor tells the man that he probably isn't due for another booster shot until at least seventy-five years. As they walk to the door, the doctor pauses and asks the man if he likes shots. He explains that he used to like shots back in the day when he lost a thumb. ","Now, however, he feels old-fashioned about the","Now, however, he feels old-fashioned about the whole thing. When the doctor leaves, the man tells him not to worry - there's no danger involved. There's just...something else going on. This etext was produced from September 1962."
84,"Sir Louis and Lady Mary Marigold are the daughter of an obscure Irish Earl. Sir Louis marigold has a snobbishness, but he likes to be successful. His wife always refers to him as ""the Princess"" when she is younger; his son is called by some other members of the aristocracy. They have a daughter named Something Something, who lives with her papa. The Marigolds give Oswald Earls Owen and Vivoprey Arrahmedear . Lancelot gives Oswald twenty-three copies of King Henry IV's coronation roll. ",He also gives Oswald Twenty-three Oswalds.,"He also gives Oswald Twenty-three Oswalds. Lady Mary continues to refer to Sir Louis as ""Her Royal Highness."" Sir Louis makes frequent visits to the Peerage House in order to confer the title on his daughter. Both Lady Mary and Sir Louis enjoy the prestige of being elevated to the status of Viscountess."
85,,Randolph Trent makes his way to the,"Randolph Trent makes his way to the wharf and stumbles upon a throng of well-dressed, well-to-do people. He tries to buy some clothes but they are too expensive for him, so he shoves them away. A portanteau man approaches him and asks if he has any money. When he says yes, he gives Randolph a sizable amount of money in exchange for a night's lodging and food."
86,,"The Martian leaves, and when he returns,","The Martian leaves, and when he returns, the Professor's youngest son freaks out because he can't find his way to the bathroom. The professor's wife tries to calm him down, but he insists that they show him respect in front of a faculty reception. A few minutes later, there is another visitor - this time, it's the Martian's daughter. She tells her parents that she saw the Martian running around outside the window while he was in the bathtub."
87,"This publication was renewed. Minor spelling and typographical errors have been corrected without note. The POINT In this chapter, Dixon argues with van Manderpootz about whether or not he should receive the Morell Prize for his research on the ""Infernal Point of Infernal Proteus"" . He points out that it is obvious to Dixon that he has won more than a dozen times. Van ManderPootz tells Dixon that in order to win the prestigious prize, he must first show proof of his scientific prowess. Dixon says that he does not regret his modesty, but rather enjoys the attention given to his own achievements. ","One spring evening, van Mandersunds laboratory comes","One spring evening, van Mandersunds laboratory comes up with a new invention. It's called the attitudinizor , which can be used to see through someone else's eyes. Dixon immediately recognizes the object of the device: the world around him. This device allows him to see directly into the eyes of another person."
88,"Jim goes to visit Jim in the Chevvie and finds his wife, Jean, sobbing. She is dead on arrival from an auto accident. Jim tries to rationalize her death by saying that it's impossible for anyone to accuse Joanna of murder. He doesn't know if she left a forwarding address or if she just packed up and left one Monday morning. Helen Simmons' mother had worked with Jim at Blands Hardware as a mortuary dresser before moving to Warrenburg, New York. The coroner's office reported that Joanna was killed in an accidental car accident. ","According to Dr. Holland, this means that","According to Dr. Holland, this means that all orphans are changelings who have an instinct to polish off their foster-brothers. After listening to Doctor Holland for a while, Jim finally decides to go back to see Renee Simmons. On the way, he stops at 872 Maple, where Jim knocks on the door. It's Miss Collins, the county coroner's stewardess."
89,,"Bertrand Malloy, Permanent Terran Ambassador to His","Bertrand Malloy, Permanent Terran Ambassador to His Utter Munificence, the Occeq of Saarkkad, hands over a communique from Earth. The communique states that there is a ""chance that the war may be over"" . That's right--the Karna are suing for peace. They want an armistice with the Earth immediately."
90,"The GIFTS OF ASTI ANDREW NORTH Varta, the last of the virgin Maidens of Memphir, and Lur walk to Asti's shrine. She takes a long time to get there, but when she does, she sees a hulk nosing through the vapor. They climb down a steep stone wall into the dark cavern where they will eventually find their way back to civilization. As they do, Varta notices a large red sun ball orbiting the four worlds of the system; it is orbited by Erb, which obeys the laws of space, even as Mercury, Venus, and Earth orbit its axis. The sun has been dimmed for some time now, reflecting the light of the moon above them. ",Then they come to a narrow road,Then they come to a narrow road that leads straight out into the middle of the jungle. Lur points out a cave in the side of the mountain from which they can easily see the outside world. There are two paths: one is death for creatures from the surface world and the other is freedom for those who serve Asti. Lur guides them on the first path.
91,"The Professor explains that he was a stoker on a lakeboat back in the day. He liked to think, so he would go to libraries and buy books on philosophy, metaphysics, science, even religion. He would read them and try to figure out the world. He decided forty years ago that there was no honest-to-God response in people. They were machines. The fighters were machines made for fighting. The people that watched them were machines for stamping and screaming and swearing. The bankers had banking cogs in their bellies, the crooks had crooked cams. A woman was just a loving machine, all nicely adjusted to give you a good time. She might decide she wanted to fight. But if you started doing something else, then the others wouldn't respond. So they just went on doing what was called for. The Professor concludes by saying that this is why there is no honest God response in humans. People are machines set to do a certain job and then quietly rust away. If you kept on being the machine you were supposed to be, well and good. Then your actions fitted with other people's. ",That was how guys started calling me,"That was how guys started calling me the Professor. I like to think. Whenever I'd get a chance, I'd go to one of the big libraries and make them give me all sorts of books. And they would tell me stuff like: Why did people become born and working and dying?"
92,"A. British Military Attache with the United States Army Contents The Lion and the Unicorn SHIP THE MAN WITH ONE TALENT The VAGRANT The last RIDE TOGETHER Prentiss had a long lease on the house, and because it stood in Jermyn Street the upper floors were turned into lodgings for single gentlemen. He placed a lion and unicorn above his flowershop, and they watched her stand there for a long time looking slowly about her. She took a photograph of the Captain from the mantel , slipped it into her pocket, and when she went out again she was crying. They never saw her again either, nor could they hear the address she gave the cabman. ",After he moved to London for a,"After he moved to London for a month, he wrote less and stopped giving suppers. Summer came and London was deserted, dull, and dusty, but the lodger stayed on in an apartment next to Helen Cabot who was painting miniatures of her hosts and studying the game of golf. Helen told Cavendish that she needed to come down to Cookham so she could get out of the oppressive heat. Cavendish asked if she could come down and get some relief from the unbearable heat."
93,"The alarm is screaming through the Satellite Station, its harsh, nerve-jarring clang echoing and re-echoing down the metal corridors, penetrating every nook and crevice and cubicle of the lonely outpost. Sabo wakes up in the dark to find that a ship has come into orbit around Saturn with an "" Interstellar drive"" . He's been looking for this ship all along, but it doesn't seem to be coming any closer. ",So they decide to board the ship,"So they decide to board the ship with Brownie. Uh-oh... Captain Loomis tells Sabo he'll have to report anything they find to him as soon as they've figured out how to track down the alien race. They head over to the large, glassed-in cabin where Sabo and Brownie are working on their instruments. When they get there, however, they find a huge, gray-black ship sitting at the side of the station."
94,"""Extensive research did not uncover any evidence that the U.S. copyright on this publication was renewed.] [Illustration] Ed Loyce, a forty-year-old man who works in the TV sales office of his local grocery store, sees a body hanging from the lamppost outside his store. He freaks out because he can't leave the guy standing there staring at it. A police officer rushes up to him and tells him that someone has been found dead inside the building. The cop also says that the body is believed to be that of a Ku Klux Klan member. When asked about it by another questioner later, the police officer says that they need to know what's going on since no one had given an explanation for why the body was there. This makes sense to us as a non-automotive reader: ""It must be some sort of civic thing."" In other words, if you're looking for a place to hang a body, look no further than your local Kroger store where Ed works. You might want to call the cops right away...Loyce dashes into a hardware store and stumbles over a garbage can while trying to get back onto the sidewalk. As he does so, he hears people running past him. ",It turns out that those people are,"It turns out that those people are just ordinary people who ride the Pikeville Transit Bus every evening. They go home to their families, to dinner, to homes, to offices, to shops, etc. And now they see something moving above them. An old man with dark eyes and a sharp-eyed gaze stares at him intently."
95,"36 ESSEX STREET W.C. London Tarn, a thirty-year-old man with a faded and frayed suit of mustard-colour arrives at the scene of Mala's birth. Tarn explains that his wife is an invalid because she is not allowed to have children. He also explains that in her own country they do not regard childbearing as illness either. Mala gives birth to a girl healthy and vigorous, and as black as the ace of spades . Tarn shows Dr. Manette how to get from one room to another without disturbing the baby or upsetting the family. They go on for about six miles until Tarn finds a place called Felonsdene, which is eight miles away. There are crates and packing-cases under the shed where Tarn keeps his dog, Mala, while Tarn instructs Mala to nurse the baby herself. After Tarn leaves, Doctor Manette becomes very disturbed by what he calls ""the strange behavior"" of Tarn and his negress: ""Mala was born to die, isn't she? It's the common lot. She's hauled out of nothing by blind Chance, to be tossed back into nothing by Blind Chance. ",Drink the health of the seaweed that,"Drink the health of the seaweed that the tide throws up on the shore and the tide sucks back again?"" No! Not I!"" Tarn says."
96,"Joe Prantera calls softly to ""Al."" The pleasurable, comfortable, warm feeling begins spreading over him as he comes out of the hospital. He is in a hospital and his first reaction is to think, This here California. Everything different. Then his second thought is something went wrong. Big Louis, he ain't going to like this. When Joe asks for help, Reston-Farrell tells him that he can do whatever he wants with what he has until he gets a mouthpiece. That's it for now. In the meantime, Joe meets Warren Brett-James, who introduces himself as Joseph Salviati-Prantera. They both look very much like docs from the '60s and '70s. There's some sort of pressure cooker going on between them. ",It turns out that Joe was born,"It turns out that Joe was born in Naples and died in childbirth. His father hadn't brought him to the States until the age of five so he had a stepmother. So they've transported Joe to 2133 A.D., where he'll be living all his adult life. After three days at the hospital, Joe starts to get the feel of things."
97,"Canute Sadelack and his wife Antone live in their shack on the Divide between Nebraska and Nebraska. They have a son named Antone, and they have a daughter named Mary. Canute plays the fiddle for them while Antone watches over his house. He is very homesick for Bohemia, where he used to work as a second violinist at the theater there until he had a stroke of paralysis. Then he went into the theatre and was able to go back and see all the beautiful women who played there. When he was old enough to play the instrument, he could do nothing but sit around and think about her. Now that he is older, he wants to be like her. The narrator gives us a brief account of Canute's life on the divide from 1892 to 1892. His first year of solitary confinement consisted of several years of drinking, smoking, and playing the harp. ","After nine years, he began to drink","After nine years, he began to drink again. This time, however, he did not kill himself. Instead, he tried to hack away at his window sills with his jack knife."
98,"This publication was renewed. Every effort has been made to replicate this text as faithfully as possible; changes (corrections of spelling and punctuation) made to the original text are listed at the end of this file. Trella had not wanted to come to the Golden Satellite, a saloon in the rougher section of Jupiter's View, the terrestrial dome-colony on Ganymede. It was a squalid saloon with only two other people in it: the fat bartender and a short, square-built man named Kregg. When Trella arrives, she finds Quest Mansard, her old friend from Jupiter. Quest asks Trella if she would like to be his chaperone for the trip back to Earth. She says that she would rather have Quest as a companion than as a ""cowardice"" who is a coward. ","On the way home, Quest accidentally bumps","On the way home, Quest accidentally bumps into Jakdane Gille, one of Quest's co-workers. Asrange tries to attack Quest, Quest retaliates by swinging a heavy wooden cane at him. Quest manages to fend off the assault without being injured."
99,"Man, in short, is an animal who, like every other animal, is finally subdued by his environment and takes his color from his surroundings. Such are the facts, they say; all the rest is rubbish. At the age of thirty-five, Smith becomes a well-to-do man with a knack for finding interesting things to look at. For example, he has a plaster cast of a woman on a wall. This makes him fall in love with her. He falls in love again with her after only a few minutes of staring at it. The narrator tells us that when Smith was a young man, he used to be very shy and reserved, but now he finds himself surrounded by ""hundreds of thousands"" of people without any real family or friends. ","After this happens, Smith decides to go","After this happens, Smith decides to go back to Egypt and dig some more. Again, no one will tell him where he's going, so he settles into digging earnestly. Eventually, however, he comes across a little cave filled with tumbled rocks and sand. It turns out to be the lair of a royal queen."
100,A number of typographical errors have been corrected in this version. ,A list of these errors is found,"A list of these errors is found at the end of this book. The Answer by H. BEAM PIPER After the screen door snaps and wakened him, Lee Richardson wakes up from his dream. He can still see Alexis Pitov sitting just outside the light from the open door of his bungalow. They are getting ready to test a missile with a ""matter-annihilation warhead"" ."
101,"To the DAUGHTERS OF THE WOLF WHO HAVE BRED AND SUCKLED A RACE OF MEN THE GOD OF HIS FATHERS I On every hand stretched the forest primeval, --the home of noisy comedy and silent tragedy. Here the struggle for survival continues to wage with all its ancient brutality. Native Americans still maintain their status as savages; Briton and Russian are still to overlap in the Land of the Rainbow's End, and neither has Yankee gold yet purchased its vast domain. But it is at this moment when the stone age is drawing to a close. The wolf-pack still clings to the flank of the caribooherd, singling out the weak and the big with calf, and pulling them down as remorselessly as were it a thousand, thousand generations into the past. It was near twelve when the sun came up over northern horizon. Along the northern horizon a rosy glow marked the unseen dip of the midnight sun. There was no night, so there was no moon. A kildee timidly chirped good-night. A robin proclaimed good-morrow. To one side of the encampment stood a second camp of two tents. Nearby stood a white man's tent. In the middle sat a woman who looked on Hay Stockard like a daughter of Belial. She swore that she would not marry or have sex with anyone but her husband. When she saw him she screamed ""Methuselah! That damned sky-pilot!"" . At first he did not respond, but then he began to speak eloquently about his people. Then he realized that they were simple folk whose roots lay in the Christian faith. They had been raised to honor God and serve Him. He went to live among his mother's people where he could nurse at a warm breast while the priests and fighting men did their work. After months of living under the protection of the church, he returned to England and worked as a guide for dogs until he became old enough to learn how to drive and walk again. His life was full of evil thoughts and bad deeds. Now he works as a missionary for a company called the Pioneer Company. During this time he also spent many lonely years working in the vineyards of his native land. One day he comes upon a strange canoe which he calls the Treasure House of the North. This canoe belongs to Baptiste the Red, English half-breed and renegade. Its cabin is moored by Owen, the navigator of light and apostle to the Lord. ","Overlooking the Indian camp stands Sturges Owen,","Overlooking the Indian camp stands Sturges Owen, an evangelist from the Bible. Owen asks Stockard if he value his hide. He replies that he does but work in the Lord's vineyard. If you go downstream, you'll fall in with the Russians."
102,"The difficulty lies in deciding which side he was on.... Two months after the landing, the crew has completely re-engineered their ship. ","They are now equipped with reading material,","They are now equipped with reading material, a telescope, and an extensive library of scientific literature. The only problem is that the natives don’t know how to steal. This leads to many complaints from the crew as they go about their daily lives. Blunt, for example, finds a photograph of a young woman who looks exactly like the Earth girls."
103,"Daniels and MacReidie board the Serenus, a cargo ship bound for Mars. A stranger approaches them and asks if he can get a job as a stoker on the ship. Macreidie says no, but the stranger agrees to go ahead and sign on with the crew. The new stoker is an old Marine veteran named Cope who has served in the Merchant Marine during the Civil War. He's looking for a job because his fellow crewmen don't have enough space to do their own thing. When Mac Reidie tries to talk to him about the trip, the man tells him that he'll ""stoke,"" which sounds like a lot of code words for ""adulterate"" behavior. ",But MacRidie isn't interested in this guy's,"But MacRidie isn't interested in this guy's point of view; he just wants to be left alone once more. Darnay makes it through the first twenty-five years of his life at sea before Baker mutiny, shot Cope, and surrendered the remainder of the human race to the wiser, gentler races in the star system. Eventually, however, they reach Alpha Centaurus ."
